term,definition,category,example,correct,attempts,last_tested
"Appliance
• Ribbon-arch appliance","A fixed multibanded orthodontic appliance developed by E. H. Angle, which marked another stage
towards the development of the edgewise appliance. Each band carried a vertical slot capable of
receiving a rectangular wire in a vertical orientation (with the longer dimension of the cross-section
parallel to the long axis of the tooth), hence the term ribbonwise. The archwire was retained in
place by pins. Control of buccolingual (third-order) root position was difficult with the appliance.
This problem was overcome later with the development of the edgewise appliance
[See ""Ribbonwise""]",,,,,
"Appliance
• Sagittal appliance","An active removable appliance with expansion screws in the anteroposterior direction bilaterally
(""two-way sagittal"") or additionally in the transverse direction (""three-way sagittal""), when
expansion is also necessary. Retention is achieved by a combination of Adams clasps and
arrowhead clasps. Sagittal appliances are used mainly in patients with labially displaced canines to

increase the arch length by advancing the incisors and to apply a distalizing force on the posterior
teeth.",,,,,
"Appliance
• Schwarz appliance","A removable orthodontic appliance introduced by A. M. Schwarz for expansion of the maxillary and/
or the mandibular dental arch. The appliance consists of a horseshoe-shaped acrylic plate fitting
along the lingual surface of the teeth and covering a large portion of the lingual aspect of the
alveolar process or palate. A midline expansion screw is incorporated in the acrylic, and ball or
arrowhead clasps on the deciduous and permanent molars provide the necessary retention.
Although Schwarz developed a variety of ""split-plate"" appliances, the mandibular appliance is
widely considered as the one that bears his name.",,,,,
"Appliance
• SPEED appliance","• SPEED appliance
(Strite Industries, Ltd. ) Fixed, self-ligating orthodontic appliance system developed by H. G.
Hanson. The appliance consists of miniaturized self-ligating brackets with built-in flexible, escapeproof spring-clips that obviate the need for conventional elastomeric or stainless steel ligatures and
permit light force delivery. The spatial relationship between the spring-loaded clip and the archwire
allows a continuous dynamic interaction between them, while maintaining three-dimensional
control of tooth position. [SPEED is an acronym of the words Spring-loaded, Precision, Edgewise,
Energy and Delivery. ]
[See Bracket, Self-ligating bracket]",,,,,
Wedge theory,"A concept based on the notions that the mandible is a class III lever and that the vertical position of
the mandible and the face height are determined by the occlusion. According to this theory, any
pure distal movement of posterior teeth will result in rocking the mandible open (clockwise
rotation), whereas when the distalmost occlusal contacts are moved forward (e.g. by mesial
movement of the posterior teeth) this may have the opposite effect of decreasing the facial height
by allowing the mandible to rotate in a counterclockwise direction. Extraction of the maxillary and
mandibular second molars aiming at reduction or correction of an anterior open bite is based on
the same theory. The validity of the theory is questionable, as is the long-term stability of any such
changes in the orientation of the mandibular plane.
Weldability
Having the capability of being joined by the passage of a strong electric current or by the use of
laser energy.",,,,,
"Appliance
• Split-plate appliance","See Appliance, Expansion.
[See Appliance, Expansion appliance]",,,,,
"Appliance
• Stabilization appliance","[See Splint, Relaxation splint (Stabilization splint, Muscle relaxation splint)]",,,,,
"Appliance
• Straight-wire appliance (Preadjusted appliance, SWA)","A modification of the edgewise appliance, introduced by L. F. Andrews in 1972. In the standard
edgewise appliance the orientation of the bracket slot was at right angles to the long axis of the
tooth and the thickness of the bracket base was the same for all types of teeth. During treatment,
bends were placed in the archwire to individually position each tooth in the buccolingual direction
(in-out or first-order bends), as well as to idealize the angulation of the long axis of the tooth in the
mesiodistal direction (tip or second-order bends) and in the buccolingual direction (torque or thirdorder bends).
In the straight-wire appliance this information is incorporated in the brackets and tubes for each
individual tooth, by varying the thickness of the base and the angulation of the slot relative to the
long axis of the tooth, in both the mesiodistal and buccolingual directions. As a result, a ""straight""
archwire can be used to ideally position the teeth, avoiding though not completely eliminating the
need for placing such bends in the archwire. Accurate placement of the brackets on the teeth is of
paramount importance with this appliance. Straight-wire appliances of various prescriptions (sets of
characteristic values for each individual tooth) are available on the market.
[See Appliance prescription]
[See Appliance, Edgewise appliance (Standard edgewise)]",,,,,
"Appliance
• Teuscher-Stцckli activator/headgear combination appliance","A modified activator used in combination with a high-pull headgear. The appliance was introduced
by U. M. Teuscher and P. W. Stцckli as a means to avoid the detrimental profile effects of cervical
traction when treating Class II malocclusions in growing individuals. Buccal headgear tubes are
incorporated in the interocclusal acrylic at the level of the maxillary second premolar or first molar.
The vector of the high-pull headgear force is directed through a point midway between the
estimated center of resistance of the maxilla and that of the maxillary dentition. In this way it is
claimed that the best compromise is reached between a resulting counterclockwise rotation of the
maxillary occlusal plane and a clockwise rotation of the maxilla itself, possibly maintaining the
inclination of the maxillary occlusal plane. The design includes reduced palatal acrylic coverage to
provide more space for the tongue. The acrylic covers the occlusal and incisal surfaces of the
maxillary teeth to distribute the headgear force over the entire dentition. The labial bow can be
substituted by torquing springs to counteract palatal tipping of the maxillary incisors. Long lingual
flanges extend from the lower portion of the appliance to enhance forward positioning of the
mandible. In addition, Frдnkel-type lower lip pads may be added to enhance normal perioral
muscle function. Finally, a jackscrew is added occasionally for controlled expansion.",,,,,
"Appliance
• Tip-Edge appliance","Fixed orthodontic appliance developed by P. C. Kesling as a combination of the Begg and the
straight-wire appliance (marketed by TP Orthodontics). The appliance consists of specially
designed brackets with modified slots that have the shape of an asymmetric bowtie. The brackets
are equipped with auxiliary vertical slots that can receive a variety of auxiliaries, including rotation
springs, uprighting springs, power pins and position indicators to facilitate bonding. The shape of
the main slots allows tipping of the teeth during space closure (a basic principle of the Begg
technique). After space closure the angulation of the teeth is idealized by uprighting springs (sidewinders). When a rectangular archwire is used during this uprighting process, the beveling and the
dimensions of the modified, fully programmed slot permit gradual expression of the torque to
simultaneously control tooth inclination.
[See Appliance, Begg appliance (Light-wire appliance)]",,,,,
"Appliance
• Tongue crib","Appliance
• Tongue crib
[See Appliance, Crib ]",,,,,
"Appliance
• Tri-helix appliance","A modification of the quad-helix, used in situations in which the constriction of the anterior maxilla
is too severe to accommodate two helices in the anterior aspect of the appliance (e.g. in patients
with a history of cleft lip and palate).",,,,,
"Appliance
• Twin arch appliance (Twin wire appliance)","An early orthodontic fixed appliance introduced by J. Johnson in 1931. The appliance made use of
the resilience of two thin-gauge stainless steel wires ranging in size from 0.09 inch (0.23 mm) to
0.014 inch (0.35 mm) in diameter. Two end-tubes were soldered onto the first molar bands,
capable of receiving the twin wire strands. The bands on the remaining teeth carried special locks
forming channels with a rectangular cross-section. The twin wires were held in the locks by special
sliding caps. Differential crown or root movement was achieved by using two archwires of different
sizes (one longer than the other) and by appropriately squeezing both into the lock so that they lie
on top of each other (in a coronal-apical direction). Occasionally, a lingual arch also was used in
conjunction with the appliance.",,,,,
"Appliance
• Twin block appliance","Tooth-borne removable functional appliance that was developed by W. J. Clark. It consists of a
maxillary and mandibular portion, which carry inclined planes constructed in such a way that an
anterior displacement of the mandible and a certain amount of vertical separation of the arches are
effected upon closure of the mouth. Due to the two-part design, the appliance is tolerated easily by
the patient and thus increased wear is facilitated. The maxillary portion of the appliance includes
capping of the molars, with an inclined plane at its mesial end. This plane engages a similar incline
on the mandibular portion of the appliance, thus causing the mandible to assume the desired
protruded position. Retention of the maxillary portion is achieved by modified Adams clasps that
span the second premolars and first molars. A labial bow with U-loops also is included in the
maxillary portion. A headgear can be attached to the maxillary portion of the appliance by inserting
a facebow into special coils incorporated in the delta clasps. The occasional addition of a midline
expansion screw can provide compensatory maxillary arch expansion as the anteroposterior
relationship improves. The mandibular portion of the appliance carries capping in the premolar
region only and is retained by delta clasps on the first premolars and C-clasps on the canines.
[See Clasp (Retention clasp), Delta clasp]",,,,,
"Appliance
• Two-by-four appliance (2x4)","A term denoting partial use of fixed orthodontic appliances, only including the 2 first permanent
molars and the 4 permanent incisors. A 2x4 is most often used for treatment in the mixed dentition,
e.g. for alignment, intrusion, or proclination of the incisors.",,,,,
"Appliance
• U-bow activator","A removable functional appliance developed by R. Karwetzky consisting of a maxillary and a
mandibular part, which are connected by a U-shaped bow on either side. These U-bows allow
gradual displacement of the mandible from its original position in small increments. The appliance
exists in three variations, proposed for the treatment of Class II, Class III, or asymmetric
malocclusions.",,,,,
"Appliance
• Universal appliance","An early fixed orthodontic appliance developed by S. R. Atkinson, combining some of the principles
of edgewise and ribbon-arch appliances to achieve precise control of individual teeth in all planes
of space. The appliance consisted of bands for all the teeth in both arches. Each band carried a
bracket with two horizontal slots, of which the larger, occlusal slot opened occlusally and the
smaller, gingival slot opened buccally. The occlusal slot could accommodate a ribbon arch of up to
0.015 x 0.028 inch (0.38 x 0.70 mm) in cross-section, or alternatively up to three 0.010-inch (0.25mm) archwires. The wires for the gingival slot were 0.008 inch (0.20 mm) to 0.014 inch (0.35 mm)in diameter. Special lock pins held the archwires in place. A lingual arch was used, which was
secured in horizontal sheaths soldered on the lingual aspect of the molar bands.",,,,,
"Appliance
• Van Beek appliance","A removable functional appliance/high-pull headgear combination, developed by H. Van Beek. The
facebow of the headgear is embedded rigidly in the acrylic at the anterior aspect of the appliance
and is its only metal part. The appliance provides labial acrylic coverage of the maxillary incisors.",,,,,
"Appliance
• Vestibular shield (Vestibular screen)","A simple removable appliance made of 2- to 3-mm-thick acrylic or thermoplastic material,
occupying the vestibule and extending posteriorly to the distal margin of the last erupted molar.
The appliance can be constructed with the mandible placed in an anterior position so that the
incisors are in an edge-to-edge relationship. The appliance is intended to eliminate an abnormal
sucking habit or lip dysfunction, to establish a competent lip seal and to interrupt contact between
the tip of the tongue and the lower lip, promoting maturation of the swallowing pattern. In patients
with a persistent tongue thrust, the vestibular shield can be combined with a tongue crib.
[See Appliance, Oral screen]",,,,,
Appliance prescription,"The set of characteristic values (in degrees) for mesiodistal tip (""angulation""), buccolingual
inclination (""torque""), and rotational offset, which are incorporated into each bracket for every
individual tooth; the ""specifications"" of a fixed orthodontic appliance. The prescription of an
orthodontic appliance usually is specified by the clinician at the time of placing the order with the
manufacturer or distributor.
[See Appliance, Straight-wire appliance (Preadjusted appliance, SWA)]",,,,,
"Appliance setup
[See Bracket setup]","Appliance setup
[See Bracket setup]",,,,,
Appliance trimming,"Selective grinding away of acrylic from a removable appliance at areas that contact the teeth. The
purpose of this process is to guide tooth eruption and aid in the development of a proper arch form.
Trimming is an important aspect of treatment with removable and functional appliances.",,,,,
Arch,"A structure with a curved or bow-like outline. The term sometimes is used in orthodontics as a
synonym for archwire.",,,,,
"Arch
• Alveolar arch",The arch formed by the ridge of the U-shaped maxillary and mandibular alveolar processes.,,,,,
"Arch
• Auxiliary arch",An accessory archwire commonly used in addition to the main or base archwire.,,,,,
"Arch
• Base arch","The main archwire occupying the bracket slots of a fixed orthodontic appliance system. Use of the
term ""base arch"" implies the presence of other auxiliary arches or springs active at the same time.",,,,,
"Arch
• Closing-loop arch","An archwire in which closing loops are incorporated
(unilaterally or bilaterally), commonly used for retraction
of the incisors. A closing-loop arch usually is made out
of full-dimension stainless steel wire in an attempt to
maintain the inclination and angulation of the teeth as
they are being retracted.",,,,,
"Arch
• Dental arch","The arch formed by the maxillary or the mandibular teeth,
when viewed from the occlusal.",,,,,
"Arch
• Horseshoe arch","Special type of transpalatal arch with the shape of a horseshoe, oriented in the horizontal plane.",,,,,
"Arch
• Intrusive arch","An archwire used as the main wire, or as an auxiliary in the
segmented arch technique, to achieve leveling of the
dental arch by intrusion of the incisors. An intrusive arch is
activated for incisor intrusion by placing tip-back bends
mesial to the molar tubes.
[See Arch, Utility arch]",,,,,
Wear facet,"A flat polished or concave area on the surface of a tooth produced by repeated physiologic or
parafunctional occlusal contact or prematurity.
[See Attrition (Dental wear, Occlusal wear)]",,,,,
"Arch
• Lingual arch","A single, heavy-gauge orthodontic wire, adapted to the lingual aspect of (usually) the mandibular
arch, attached to bands on the first permanent molars. Two U-loops, often bent into the wire mesial
to the first molars, offer the possibility of adjustment in the sagittal direction. The lingual arch is
generally used for stabilization (anchorage reinforcement), as a holding arch for space
maintenance, for expansion, for increase of dental arch length or for anchorage when
intermaxillary traction is used. Lingual arches can be of fixed (soldered) or fixed/removable design.",,,,,
"Arch
• Nance holding arch","Maxillary fixed appliance developed by H. N. Nance, consisting of a heavy palatal wire soldered to
the palatal aspect of the first molar bands. The wire is directed from the molars anteriorly and is
attached to an acrylic button that rests against the most superior and anterior aspect of the palatal
vault. Used as a space maintainer, or as a means to reinforce anchorage.",,,,,
"Arch
• Overlay arch (Piggyback arch)","An auxiliary archwire added to the main (base) archwire, most commonly used to achieve
transverse changes in the dental arch or individual tooth movements. An overlay arch can be
inserted in the auxiliary slots or the headgear tubes of the molar attachments, or it may be simply
tied onto the main archwire.
[See E-arch]",,,,,
"Arch
• Porter arch (W-arch)","Maxillary fixed/removable appliance consisting of a heavygauge (0.036 inch or 0.90 mm) transpalatal wire with a Wshaped configuration, secured to the palatal aspect of the
first molar bands. It is used to achieve expansion of the
maxillary dental arch and/or derotation of the molars.",,,,,
"Arch
• Transpalatal arch (TPA, Palatal bar, Goshgarian-type palatal arch)","Maxillary fixed or fixed/removable appliance consisting of a 0.036-inch (0.90-mm) or higher gauge
wire that extends from one maxillary first molar, along the contour of the palate, to the maxillary
first molar on the opposite side. The arch is adapted to the curvature of the palatal vault, so that it
lies 2 to 3 mm away from the palatal mucosa. A U-loop, which usually is incorporated midway
across its span, can be activated for expansion or constriction of the intermolar width. The TPA
also is used commonly for anchorage reinforcement, for derotation of the molars, or for producing
root movements of these teeth.",,,,,
"Arch
• Utility arch","A maxillary or mandibular continuous archwire bypassing the canines and/or premolars to achieve
leveling of the arch and/or uprighting of the molars, or to function as a stopped arch for incisor
proclination. The utility arch,
which was introduced by R. W.
Ricketts, usually is made out of 0.016 x 0.016-inch (0.41 x 0.41-mm) or 0.016 x 0.022-inch (0.41 x 0.56-mm) stainless steel or
cobalt-chromium wire. The wire is stepped away from the occlusal plane between the first molars
and lateral incisors for convenience and comfort. Avoiding engagement of the premolars and
canines results in improved load/deflection properties because of the length of wire between the
molar and incisor segments. The stepping of the archwire in a gingival direction in the buccal
segments also reduces the risk of deformation during mastication. The utility arch can be used for
movement of the incisors in the vertical and/or sagittal plane of space.
[See Arch, Intrusive arch]",,,,,
"Arch
• Stopped arch (Proclination arch, Advanced arch)","An orthodontic archwire with stops or loops (usually placed
mesial to the first molar tubes) to procline the incisors, or to
maintain the existing arch length.",,,,,
Arch bars,"Half-round, oval, round or flat wire bars, bent to fit the labial surface of the dental arches, in the
cervical third of the crowns.
Arch bars may carry
special bases so they can
be bonded to the teeth, or
more commonly, they can
be attached to them with
interdental ligature wires.
They may contain
supporting elements,
such as hooks or eyelets,for attaching elastic bands or tie wires. Arch bars are used to facilitate intermaxillary fixation in
orthognathic surgery, or for stabilization of fractures of the maxilla or mandible. Single arch bars
also are used sometimes for stabilization of traumatized teeth.",,,,,
Arch coordination,"One of the aspects of fixed appliance orthodontic treatment
by which it is made sure that the maxillary and mandibular
dental arches fit harmoniously with each other, with
corresponding arch forms and good anterior and buccal
overjet.
[See Archwire coordination]",,,,,
Arch depth,"The perpendicular distance in the
midsagittal plane from the most labial
midpoint between the central incisors to a
line connecting the distal surfaces of two
posterior corresponding teeth in a dental
arch, usually the second premolars (or
second deciduous molars).",,,,,
Arch form,"The shape of an individual dental arch, or of an archwire formed to fit or shape that arch. The arch
form can be parabolic, hyperbolic, ellipsoidal, square, tapering, V-shaped etc.",,,,,
Arch length (Arch perimeter),"A measurement of space available in the
dental arch, for alignment of the teeth.",,,,,
Arch length discrepancy,"A difference between the space available in the dental arch and the space required to align the
teeth. An arch length discrepancy can either be in the form of a deficiency or an excess of arch
length.",,,,,
Arch length deficiency (Crowding),"A negative difference between the
space available in the dental arch and
the space required to align the teeth.
With regard to the severity of space
deficiency, crowding is divided into
three categories: first-degree (mild)
crowding, second-degree (moderate)
crowding and third-degree (severe)
crowding.
The classification into primary,
secondary and tertiary crowding takes
into account the etiology of the space
deficiency.
Primary (hereditary) crowding is

determined genetically and is caused by disproportionately sized teeth and jaws.
Secondary crowding is an acquired anomaly caused by mesial drifting of the posterior teeth after
premature loss of deciduous teeth in the lateral segments and/or lingual or distal displacement of
the anterior teeth.
The etiopathogenesis of tertiary crowding is still under debate. This type of crowding— primarily in
the mandibular anterior teeth— occurs during and after adolescence and was previously thought to
be associated with third molar eruption. Others attribute the anomaly to differential anteroposterior
growth of the maxilla and mandible terminating at different times, in combination with differential
rotation of the maxilla and mandible with growth. Malocclusions with crowding are more common in
modern populations than those involving interdental spacing and wide arches.",,,,,
• Arch length excess (Spacing),"A positive difference between the
space available in the dental arch
and the space required to align the
teeth. As with crowding, a distinction
can be made between primary,
secondary and tertiary spacing.
Primary (hereditary) spacing is
determined genetically and is
caused by disproportionately sized
teeth and jaws, including tooth
agenesis.
Secondary spacing is an acquired
anomaly caused by drifting of teeth,
subsequent to loss of a permanent
tooth.
Tertiary spacing is caused by bone
loss due to periodontal disease,
resulting in a disturbance of the equilibrium of forces acting on the teeth and associated tooth
movement.",,,,,
Arch width,"The breadth of the dental arch, determined
by measuring distances between
corresponding contralateral teeth (e.g.
intercanine width, intermolar width).",,,,,
Archwire (Arch wire),"A wire engaged in orthodontic attachments that are affixed to the crowns of two or more teeth to
cause or guide tooth movement.

SUBTERMS:Archwire (Arch wire)
Continuous archwire
Finishing archwire
""Full dimension"" archwire
Multiloop archwire
Sectional archwire (Segmental archwire)
Stabilizing archwire
Surgical archwires
Archwire (Arch wire)",,,,,
Archwire (Arch wire)  • Continuous archwire,"An archwire that engages, through crown attachments (brackets and tubes), many or all of the
erupted teeth in the maxillary or mandibular dental arch (i.e. from molar to molar).
Archwire (Arch wire)",,,,,
Archwire (Arch wire)  •Finishing archwire,The archwire used in the finishing stage of treatment.,,,,,
"Archwire (Arch wire)
• ""Full dimension"" archwire","A large rectangular archwire that will practically ""fill"" the bracket slot. Usually referring to an 0.017 x
0.025-inch (0.43 x 0.64-mm) or 0.018 x 0.025-inch (0.46 x 0.64-mm) archwire, when a 0.018 x
0.025-inch (0.46x 0.64-mm) slot size is used, or an 0.021 x 0.025-inch (0.53 x 0.64-mm) archwire
when a 0.022 x 0.028-inch (0.56 x 0.70- mm) slot is used.",,,,,
"Archwire (Arch wire)
• Multiloop archwire","A stainless steel archwire with loops of various configurations bent in the interbracket spaces, to
increase the flexibility of the wire to facilitate bracket engagement. The use of multiloop archwires
was very common in earlier days of orthodontics, when the only way to reduce the load/deflection
characteristics of the appliance was to increase the length of wire between brackets. It has now
been largely replaced by multistrand wires, or wires made of various superelastic materials.
[See Loop]
[See Load/deflection rate (Force/deflection rate)]",,,,,
"Archwire (Arch wire)
• Sectional archwire (Segmental archwire)","An archwire that engages only a few teeth within an arch (e.g. only the four incisors, or only the
teeth in a posterior dental segment. )
[See Mechanics, Segmental arch mechanics (Sectional mechanics)]",,,,,
"Archwire (Arch wire)
• Stabilizing archwire","A stiff, full-dimension archwire, used to maintain the actual position of the teeth (e.g. prior to
orthognathic surgery), or to consolidate a number of teeth, forming a large anchorage segment.",,,,,
"Archwire (Arch wire)
• Surgical archwires","The stabilizing archwires that are in place during the orthognathic surgical procedure. They usually
are rectangular stainless steel wires to which hooks have been added in the interbracket spaces to 
facilitate intermaxillary fixation. Surgical archwires must fit passively to be effective. If they create
any tooth movement after the impressions are made for the model surgery and for splint
construction, the splint will no longer fit.",,,,,
Archwire coordination,"The process of superimposing the maxillary and mandibular archwires prior to placing them in the
patient’s mouth, to ensure that their arch form fits with each other, with the objective of achieving
coordinated dental arches.
[See Arch coordination]",,,,,
Archwire cross-section,"Various diameters and cross-sectional shapes of orthodontic archwires exist. The ones most
commonly used, specified by the size of the cross-section in inches (mm) are:
Round:
0.012 inch (0.30 mm),
0.014 inch (0.35 mm),
0.016 inch (0.40 mm),
0.017 inch (0.43 mm),
0.018 inch (0.46 mm),
0.019 inch (0.48 mm),
0.020 inch (0.51 mm)
Square:
0.016 x 0.016 inch (0.41 x 0.41 mm),
0.017 x 0.017 inch (0.43 x 0.43 mm),
0.018 x 0.018 inch (0.46 x 0.46 mm),
0.019 x 0.019 inch (0.48 x 0.48 mm)
Rectangular:

0.016 x 0.022 inch (0.41 x 0.56 mm),
0.017 x 0.022 inch (0.43 x 0.56 mm),
0.017 x 0.025 inch (0.43 x 0.64 mm),
0.018 x 0.025 inch (0.46 x 0.64 mm),
0.019 x 0.025 inch (0.48 x 0.64 mm),
0.020 x 0.025 inch (0.51 x 0.64 mm),
0.021 x 0.025 inch (0.53 x 0.64 mm).",,,,,
Archwire locks,"Archwire locks
[See Gurin lock]
Archwire stop
A bend, auxiliary attachment, or occasionally a
drop of solder placed on an archwire to prevent it
from sliding mesially or distally through the
orthodontic attachments.",,,,,
Arthritis,"Inflammation of a joint, usually accompanied by pain.
SUBTERMS:
Hypertrophic arthritis
Juvenile rheumatoid arthritis (JRA, Still’s disease)
Rheumatoid arthritis",,,,,
Arthrography of the TMJ,"Arthrography of the TMJ
Radiographic visualization of the TMJ.

SUBTERMS:
Single-contrast arthrography
Double-contrast arthrography
Single-space arthrography
Double-space arthrography",,,,,
"Arthrography of the TMJ
• Single-contrast arthrography","Arthrography following injection of a radiopaque contrast medium into the joint space(s) to
determine the location and integrity of intra-articular soft tissue structures, including disc position,
soft tissue contours, presence of perforations, joint motion, intra-articular free bodies and adhesive
capsulitis.",,,,,
"Arthrography of the TMJ
• Double-contrast arthrography","A procedure similar to single-contrast arthrography but with injection of a small amount of
radiopaque contrast agent followed by inflation of the joint with air.",,,,,
"Arthrography of the TMJ
• Single-space arthrography","Contrast arthrography with injection of a radiopaque contrast medium into either the upper or the
lower synovial joint compartment of the TMJ.",,,,,
"Arthrography of the TMJ
• Double-space arthrography","Contrast arthrography with injection of a radiopaque contrast agent into both the upper and lower
synovial joint spaces.",,,,,
Arthrokinetics of the TMJ,"Arthrokinetics of the TMJ
Temporomandibular joint motion.

SUBTERMS:
Depression of the mandible
Distraction of the mandible
Elevation of the mandible
Lateral excursion of the mandible
Protrusion of the mandible
Retrusion of the mandible
Arthrokinetics of the TMJ
• Depression of the mandible
Movement of the mandibular alveolar process away from that of the maxilla.
Arthrokinetics of the TMJ
• Distraction of the mandible
Separation of the surfaces of the TMJ by extension, without injury or dislocation of the parts.
Arthrokinetics of the TMJ
• Elevation of the mandible
Movement of the mandibular alveolar process toward that of the maxilla.
Arthrokinetics of the TMJ
• Lateral excursion of the mandible
Right or left movement of the mandible away from the median plane.
[Compare with Mediotrusion]
[See Laterotrusion]",,,,,
Arthrokinetics of the TMJ • Protrusion of the mandible,"Anterior mandibular movement with bilateral forward condylar translation.
Arthrokinetics of the TMJ",,,,,
Arthrokinetics of the TMJ • Retrusion of the mandible,Posterior mandibular movement with bilateral backward condylar translation.,,,,,
Arthroscopy,Direct visualization of a joint with an endoscope.,,,,,
Arthrosis,"Degeneration of a joint, evidenced by bony alterations.",,,,,
"Articular disc (Intra-articular disc, Meniscus)","A thin biconcave pad of dense fibrous connective tissue, interposed between the temporal bone
and the mandibular condyle, that divides the articular space into an upper and a lower
compartment. It is devoid of any blood vessels or nerve fibers and its anterior and posterior
borders (bands) are thick, whereas its central part (where the condylar head fits) is thinner.
Anteriorly it may be attached to fibers of the superior head of the lateral pterygoid muscle.
Posteriorly it attaches to a structure consisting of loose connective tissue, which is richly
vascularized and innervated, known as the retrodiscal tissue (retrodiscal lamina). The medial and
lateral aspects of the disc are attached to the lateral poles of the condyle by the collateral
ligaments, which permit rotational movement of the disc on the condyle during opening and closing
of the mouth.",,,,,
Articular eminence,"A convex bony ridge situated immediately anterior to the glenoid fossa of the temporal bone, that
also is involved in the temporomandibular joint. The degree of convexity of the articular eminence
is highly variable but important because the steepness of this surface dictates the pathway of the
condyle when the mandible is positioned anteriorly.",,,,,
Articulator,"A mechanical instrument that represents the temporomandibular joints and the jaws, to which
maxillary and mandibular casts may be attached, with the intention of reproducing mandibular
movements. Depending on the amount of adjustments that an articulat or can accommodate
(which increases the accuracy and precision of the simulation of the clinical situation), there are
non-adjustable, semi-adjustable (anatomic) and fully adjustable (gnathologic) articulators.Articulators have all the mechanical limitations imposed by their construction. The various types
and models show great variation in their function depending on the way they were constructed and
the occlusal concepts on which they were based.

SUBTERMS:
Arcon articulator
Non-arcon articulator",,,,,
Association,"A recognized pattern of morphological defects or malformations that currently is not considered to
constitute a syndrome or an anomalad, but that may be reclassified as a syndrome or as an
anomalad as knowledge advances.",,,,,
Atherton’s patch,"The small red triangular patch of thin and non-keratinized gingival epithelium often observed on the
side opposite from the direction in which a tooth is moving. The first report of this phenomenon was
made by J. D. Atherton and N. W. Kerr in 1968, associated with the mesial aspect of maxillary
canines being distalized after extraction of the first premolars.",,,,,
"Attachment, Gingival",The part of the gingiva that is bound down to the underlying cementum and bone.,,,,,
"Attachment, Orthodontic","A precision component that can be welded or soldered
to a band, or bonded directly to a tooth, to facilitate the
application of forces during orthodontic treatment. The
general term encompasses items such as brackets,
tubes, buttons, eyelets, and ""pigtail"" attachments.",,,,,
"Attrition (Dental wear, Occlusal wear)","Loss of tooth structure due to repetitive physiological or parafunctional occlusal contact between
the teeth. Attrition results in the formation of flat areas on the surface of teeth (wear facets) that
have a polished appearance and readily reflect light. Although a certain degree of attrition is
considered physiological with age, the presence of deleterious parafunctional habits such as
bruxism may accelerate it. Attrition also affects the interproximal surfaces of the teeth.
[Compare with Abrasion]",,,,,
Austenite,"The face-centered cubic (FCC) crystalline structure of iron and steel, or the body-centered cubic
(BCC) structure in nickel-titanium alloys, at higher temperatures. In stainless steels, certain
elements such as nickel maintain the austenitic structure at room temperature. Appropriate cooling
of nickel-titanium alloys can induce a transformation to a close-packed hexagonal martensitic
phase (martensitic transformation). The transformation from austenite to martensite and vice versa
is what gives alloys such as nickel-titanium the characteristic properties of ""shape memory"" and
""superelasticity"" (""pseudoelasticity"").
[See Martensitic transformation]",,,,,
Autorotation (of the mandible),"The rotation of the mandible around the condylar axis (or an axis in the region of the condyles),
after repositioning of the osteotomized maxilla. Mandibular autorotation can be simulated
approximately during preparation of the surgical prediction tracing by rotating the mandibular
template until the mandibular teeth contact the repositioned maxillary teeth. The same can be
accomplished during model surgery using an articulator or one of the various operation simulation
systems. This significant step in the surgical treatment planning process will determine the
feasibility of a single-jaw (maxilla only) procedure, versus the need for bimaxillary surgery.
For example, in a patient with a Class II, Division 1, anterior open bite malocclusion, it may be
feasible to achieve an ideal overjet/overbite relationship and to decrease the elongated lower
anterior face height just by a maxillary differential impaction and subsequent mandibular
autorotation, without the need for a mandibular osteotomy.",,,,,
Avascular necrosis,"Bone infarction not associated with sepsis, but with circulatory impairment (occlusion of blood
vessels), leading to bony necrosis.",,,,,
Avulsion,The complete separation of a tooth from its alveolus as a result of trauma.,,,,,
"Axes, System of","Axes, System of

[See Global reference frame]
Axis of rotation
The line about which rotation of a three-dimensional object actually occurs.
[See Center of rotation (CRot)]",,,,,
Axis of rotation,"The line about which rotation of a three-dimensional object actually occurs.
[See Center of rotation (CRot)]",,,,,
Banding,"The process of cementing an orthodontic band in place, which involves the selection of the
appropriate band for a certain tooth, its fitting and adaptation and, finally, its fixation on the tooth by
means of cement.",,,,,
Basilar kyphosis (Kyphosis of the cranial base),"A term indicating a reduced cranial base angle (NSBa).
[Compare with Platybasia]",,,,,
Behavioral therapy,"An attempt to change the attitude and habits of an individual, without the use of appliances or
medications; a means to improve patient cooperation and compliance. Behavioral therapy is
performed under the assumption that all elements of behavior can be learned. Essential in this
approach is a clear explanation of the rationale of the therapy and the importance of the necessary
motivation and persistence.",,,,,
Bending test,"Experimental setup to determine the material properties of a specimen in bending. This involves
the measurement of angular or linear deflection of an archwire segment, resulting from a bending
moment or an applied force. A bending test designed for orthodontic wires is the American National
Standards Institute/American Dental Association (ANSI/ADA) Specification No 32.",,,,,
